"This playlist already has this song. So, you can go to album view page and add songs in playlist.";"This playlist already has this song. So, you can go to album view page and add songs in playlist."
"Song has been successfully added to your playlist.";"Song has been successfully added to your playlist."
"This playlist already has this song.";"This playlist already has this song."
"Song edited successfully.";"Song edited successfully."
"Action perform successfully.";"Action perform successfully."
"There appears to be a problem logging in. Please reset your password with the Forgot Password link.";"There appears to be a problem logging in. Please reset your password with the Forgot Password link."
"Email sent successfully, please check your email.";"Email sent successfully, please check your email."
"The passwords you entered did not match.";"The passwords you entered did not match."
"Your profile edit successfully.";"Your profile edit successfully."
"Your profile photo updated successfully.";"Your profile photo updated successfully."
"Your photo has been removed.";"Your photo has been removed."
"mutual friend";"mutual friend"
"Single";"Single"
"In a Relationship";"In a Relationship"
"Engaged";"Engaged"
"Married";"Married"
"It''s Complicated";"It''s Complicated"
"In an Open Relationship";"In an Open Relationship"
"Widowed";"Widowed"
"Passwords did not match";"Passwords did not match"
"Old password did not match";"Old password did not match"
"Settings were successfully saved.";"Settings were successfully saved."
"Invalid param count";"Invalid param count"
"No artist created yet.";"No artist created yet."
"Sub Sub Category";"Sub Sub Category"
"No video uploaded yet.";"No video uploaded yet."
"Channel photo has been deleted successfully.";"Channel photo has been deleted successfully."
"No photo created in this channel yet.";"No photo created in this channel yet."
"Your location have been saved.";"Your location have been saved."
"Channel edited successfully.";"Channel edited successfully."
"Videos updated successfuly in selected chanel.";"Videos updated successfuly in selected chanel."
"Channel follow successfully.";"Channel follow successfully."
"Channel un-followed successfully.";"Channel un-followed successfully."
"No video found.";"No video found."
"Video edited successfully.";"Video edited successfully."
"You have already uploaded the maximum number of videos allowed.";"You have already uploaded the maximum number of videos allowed."
"Please select valid upload url for video.";"Please select valid upload url for video."
"Please select video to upload.";"Please select video to upload."
"The video you are looking for does not exist or has not been processed yet.";"The video you are looking for does not exist or has not been processed yet."
"Item Rated Successfully.";"Item Rated Successfully."
"Invalid upload video Url.";"Invalid upload video Url."
"Video posted successfully";"Video posted successfully"
"We could not find a video there - please check the URL and try again.";"We could not find a video there - please check the URL and try again."
"No playlist created yet.";"No playlist created yet."
"Playlist edited successfully.";"Playlist edited successfully."
"This playlist already has this video.";"This playlist already has this video."
"Video has been successfully added to your playlist.";"Video has been successfully added to your playlist."
"The requested resource could not be found.";"The requested resource could not be found."
"You are not authorized to access this resource.";"You are not authorized to access this resource."
"Please sign in to continue.";"Please sign in to continue."
"Item Unfavourite Successfully";"Item Unfavourite Successfully"
"Item Favourite Successfully";"Item Favourite Successfully"
"This user is not allowed to comment on this item.";"This user is not allowed to comment on this item."
"Your report has been submitted.";"Your report has been submitted."
"AND";"AND"
"YOU";"YOU"
"others";"others"
"other";"other"
" and ";" and "
" and";" and"
"This field is hidden and only visible to you and admins:";"This field is hidden and only visible to you and admins:"
"Please sign in to continue.";"Please sign in to continue."
"That resource does not exist";"That resource does not exist"
" mutual friend";" mutual friend"
" mutual friends";" mutual friends"
