"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account.";"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account."
"Yes, Delete My Account";"Yes, Delete My Account"
"This is the last super admin account. Please reconsider before deleting this account.";"This is the last super admin account. Please reconsider before deleting this account."

"My Settings";"My Settings"
"General";"General"
"Notifications";"Notifications"
"General Settings";"General Settings"
"Notification Settings";"Notification Settings"
"Email address";"Email address"
"Please enter a valid email address.";"Please enter a valid email address."
"Someone has already registered this email address, please use another one.";"Someone has already registered this email address, please use another one."
"Username";"Username"
"Please enter a valid username.";"Please enter a valid username."
"Someone has already picked this username, please use another one.";"Someone has already picked this username, please use another one."
"Username must start with a letter.";"Username must start with a letter."
"Username must be alphanumeric.";"Username must be alphanumeric."

"Account Type";"Account Type"
"Timezone";"Timezone"
"Select the city closest to you that shares your same timezone."
"Locale";"Locale"
"Dates, times, and other settings will be displayed using this locale setting.";"Dates, times, and other settings will be displayed using this locale setting."
"Email Alerts";"Email Alerts"
"Which of the these do you want to receive email alerts about?";"Which of the these do you want to receive email alerts about?"

"Join Network";"Join Network"
"Change Password";"Change Password"
"Old password";"Old password"
"New password";"New password"
"Password must be at least 6 characters and contain one upper and one lower case letter, one number and one special character.";"Password must be at least 6 characters and contain one upper and one lower case letter, one number and one special character."
"It seems that you have used an old password. Choose a new password, to protect your account.";"It seems that you have used an old password. Choose a new password, to protect your account."
"Passwords must be at least 6 characters in length.";"Passwords must be at least 6 characters in length."
"New password (again)";"New password (again)"
"Enter your password again for confirmation.";"Enter your password again for confirmation."
"Change Password";"Change Password"

"Privacy Settings";"Privacy Settings"
"Blocked Members";"Blocked Members"
"Adding a person to your block list makes your profile (and all of your other content) unviewable to them and vice-versa. Blocked users will not be able to message you or view things you post. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page.";"Adding a person to your block list makes your profile (and all of your other content) unviewable to them and vice-versa. Blocked users will not be able to message you or view things you post. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page."
"Do not display me in searches, browsing members, or the ""Online Members"" list.";"Do not display me in searches, browsing members, or the ""Online Members"" list."

"Profile Privacy";"Profile Privacy"
"Who can view your profile?";"Who can view your profile?"
"Profile Posting Privacy";"Profile Posting Privacy"
"Who can post on your profile?";"Who can post on your profile?"
"Only Me";"Only Me"
"Only My Friends";"Only My Friends"
"Only My Networks";"Only My Networks"
"Friends or Networks";"Friends or Networks"
"All Members";"All Members"
"User @ Mentions";"User @ Mentions"
"Who can @ mention you?";"Who can @ mention you?"
"Create Account";"Create Account"
"You will use your email address to login.";"You will use your email address to login."
"Password";"Password"
"Please enter a valid password.";"Please enter a valid password."
"Password Again";"Password Again"
"Please make sure the ""password"" and ""password again"" fields match.";"Please make sure the ""password"" and ""password again"" fields match."
"Password did not match";"Password did not match"

"Language";"Language"

"Continue";"Continue"

"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"

"Member Sign In";"Member Sign In"
"Remember Me";"Remember Me"

"Human Verification";"Human Verification"
"Please validate that you are not a robot by typing in the letters and numbers in this image:";"Please validate that you are not a robot by typing in the letters and numbers in this image:"

"Login";"Login"
"Edit My Profile";"Edit My Profile"
"Personal Info";"Personal Info"
"Edit My Photo";"Edit My Photo"

"clear";"clear"

"add to list";"add to list"
"Choose Friend List";"Choose Friend List"
"New list...";"New list..."

"%s friend request";"%s friend request";"%s friend requests"
"%1$s has sent you a friend request.";"%1$s has sent you a friend request."
"or";"or"
"ignore request";"ignore request"

"Browse Members";"Browse Members"
"%s member found.";"%s member found.";"%s members found."

"Loading...";"Loading..."
"View More";"View More"
"Post something...";"Post something..."
"Post Something...";"Post Something..."
"Missing heading";"Missing heading"

"Member Info";"Member Info"
"Member Type:";"Member Type:"

"This profile is private.";"This profile is private."
"Settings were successfully saved.";"Settings were successfully saved."

"My Networks";"My Networks"
"You belong to %s network.";"You belong to %s network.";"You belong to %s networks."
"%s member.";"%s member.";"%s members."

"Leave Network";"Leave Network"
"To add a new network, begin typing its name below.";"To add a new network, begin typing its name below."

"We now";"We now"
"yourname";"yourname"
"Signup complete!";"Signup complete!"
"Yes, Delete My Account";"Yes, Delete My Account"
"skip";"skip"

"Edit Profile Photo";"Edit Profile Photo"
"Apply Changes";"Apply Changes"

"Hi";"Hi"

"Missing heading";"Missing heading"
"Lists:";"Lists"

"Mutual Friends";"Mutual Friends"
"Member Type:";"Member Type:"
"Profile Views:";"Profile Views:"
"Friends:";"Friends:"
"Last Update:";"Last Update:"
"Joined:";"Joined:"
"Member Statistics";"Member Statistics"
